,庭审程序分类
21668,已审理（简易转普通）
21669,要求再审
21670,上诉
21671,调解结案
21672,要求再审
21673,已审理（简易）
21674,已审理（简易）
21675,其他撤诉
21676,已审理（简易）
21677,已审理
21678,已受理/立案
21679,已受理/立案
21680,已审理（简易）
21681,上诉
21682,上诉
21683,已受理/立案
21684,已审理（简易）
21685,已审理
21686,其他/错误
21687,调解结案
21688,上诉
21689,已审理（简易）
21690,不公开
21691,上诉
21692,调解结案
21693,已审理（简易）
21694,其他/错误
21695,已审理（简易）
21696,上诉
21697,调解结案
21698,其他/错误
21699,不公开
21700,已审理（简易）
21701,已审理（简易）
21702,已审理（简易）
21703,其他撤诉
21704,已审理（简易）
21705,已审理（简易）
21706,上诉
21707,缺席审判
21708,已审理（简易）
21709,要求再审
21710,上诉
21711,已审理
21712,已审理
21713,已审理（简易）
21714,已审理（简易）
21715,已审理（简易）
21716,要求再审
21717,其他/错误
21718,已受理/立案
21719,已审理
21720,不公开
21721,已审理（简易）
21722,上诉
21723,上诉
21724,上诉
21725,上诉
21726,已审理
21727,已审理（简易）
21728,其他撤诉
21729,已审理
21730,上诉
21731,已受理/立案
21732,调解结案
21733,其他/错误
21735,已审理（简易）
21736,调解结案
21737,调解结案
21738,调解结案
21739,已审理（简易）
21740,已审理（简易）
21741,已审理（简易）
21742,其他/错误
21743,已审理（简易）
21744,已审理
21745,其他/错误
21746,已受理/立案
21747,其他撤诉
21748,已审理（简易）
21749,其他撤诉
21750,其他/错误
21751,要求再审
21752,已审理（简易）
21753,调解结案
21754,其他/错误
21755,调解结案
21756,其他/错误
21757,已审理（简易）
21758,已审理
21759,上诉
21760,已审理
21761,已审理（简易）
21762,已审理
21763,申请财产保全
21764,上诉
21765,已审理（简易）
21766,已审理（简易）
21767,已审理（简易）
21768,已审理（简易）
21769,已审理（简易）
21770,已审理
21771,调解结案
21772,调解结案
21773,已审理（简易）
21774,申请财产保全
21775,其他撤诉
21776,调解结案
21777,已审理
21778,其他/错误
21779,上诉
21780,上诉
21781,已审理（简易）
21782,调解结案
21783,调解结案
21784,已受理/立案
21785,已受理/立案
21786,调解结案
21787,已审理（简易）
21788,上诉
21789,其他撤诉
21790,已审理
21791,已审理（简易）
21792,已审理（简易）
21793,已审理（简易）
21794,已受理/立案
21795,上诉
21796,已受理/立案
21797,已审理（简易）
21798,已审理（简易）
21799,已审理
21800,上诉
21801,上诉
21802,已审理（简易）
21803,已审理（简易）
21804,调解结案
21805,已审理（简易）
21806,不公开
21807,申请财产保全
21808,已审理
21809,已审理
21810,上诉
21811,已审理
21812,上诉
21813,已受理/立案
21814,已审理（简易）
21815,已审理
21816,上诉
21817,上诉
21818,上诉
21819,已受理/立案（简易）
21820,其他/错误
21821,已审理
21822,已审理
21823,已审理（简易）
21824,调解结案
21825,已审理（简易）
21826,已受理/立案
21827,其他撤诉
21828,已受理/立案
21829,已审理（简易）
21830,其他撤诉
21831,上诉
21832,已审理（简易）
21833,调解结案
21834,已审理（简易）
21835,已审理（简易）
21836,申请财产保全
21837,其他/错误
21838,已审理（简易）
21839,已受理/立案
21840,其他撤诉
21841,已审理（简易）
21842,已审理（简易转普通）
21843,已受理/立案
21844,已审理（简易）
21845,已审理（简易）
21846,已审理（简易）
21847,已审理（简易）
21848,已审理（简易）
21849,上诉
21850,调解结案
21851,已审理
21852,调解结案
21853,已审理
21854,已审理（简易）
21855,上诉
21856,已审理
21857,已审理（简易）
21858,已审理（简易）
21859,其他撤诉
21860,上诉
21862,已审理（简易）
21863,已受理/立案
21864,已审理（简易）
21865,其他/错误
21866,要求再审
21867,已审理
21868,已审理
21869,其他撤诉
21870,其他/错误
21871,已受理/立案（简易）
21872,已审理
21873,上诉
21874,上诉
21875,已审理
21876,上诉
21877,已审理（简易）
21878,其他撤诉
21879,其他撤诉
21880,上诉
21881,其他撤诉
21882,已审理（简易）
21883,已审理（简易）
21884,已审理（简易）
21885,其他撤诉
21886,已审理（简易）
21887,已审理（简易）
21888,已受理/立案
21889,已审理（简易）
21890,调解结案
21891,已审理（简易）
21892,上诉
21893,已审理（简易）
21894,已审理（简易）
21895,已审理
21896,已审理
21897,已受理/立案
21898,已审理
21899,要求再审
21900,已审理（简易）
21901,已审理（简易）
21902,已审理（简易）
21903,已审理
21904,已审理（简易）
21905,已受理/立案
21906,其他撤诉
21907,其他/错误
21908,已审理
21909,已审理（简易）
21910,已审理（简易）
21911,其他撤诉
21912,已审理（简易）
21913,上诉
21914,已审理
21915,其他/错误
21916,调解结案
21917,上诉
21918,上诉
21919,已审理
21920,已审理（简易）
21921,已审理（简易）
21922,已审理
21923,已审理（简易）
21924,调解结案
21926,已审理（简易）
21927,已审理（简易）
21928,已审理（简易）
21929,已受理/立案
21930,其他/错误
21931,其他/错误
21932,已审理
21933,其他撤诉
21934,已审理（简易）
21936,不公开
21937,调解结案
21938,调解结案
21939,已受理/立案
21940,上诉
21941,上诉
21942,已审理（简易）
21943,上诉
21944,已审理（简易）
21945,上诉
21946,已审理（简易）
21947,已审理（简易）
21948,上诉
21949,其他/错误
21950,已审理
21951,已审理
21952,已审理（简易）
21953,已审理（简易）
21954,其他撤诉
21955,上诉
21956,不公开
21957,已审理（简易）
21958,已审理（简易）
21959,已审理
21960,调解撤诉
21961,已受理/立案
21962,已审理（简易）
21963,已审理
21964,已审理
21965,缺席审判
21966,上诉
21967,已审理（简易）
21968,已审理
21969,要求再审
21970,已审理（简易）
21971,不公开
21972,已审理
21973,已审理
21974,已审理（简易）
21975,已审理（简易）
21976,其他撤诉
21977,其他撤诉
21978,已审理（简易）
21979,上诉
21980,其他/错误
21981,上诉
21982,已审理（简易）
21983,上诉
21984,其他/错误
21985,已受理/立案（简易）
21986,其他撤诉
21987,上诉
21988,已审理
21989,已审理
21990,已审理
21991,调解结案
21992,已审理（简易）
21993,已审理
21994,已审理
21995,调解结案
21996,已审理（简易）
21997,已受理/立案
21999,已审理（简易）
22000,已审理（简易）
22001,申请财产保全
22002,已审理（简易）
22003,已受理/立案
22004,已审理（简易）
22005,已审理（简易）
22006,上诉
22007,其他撤诉
22008,已审理（简易）
22009,已审理（简易）
22010,已审理（简易）
22011,上诉
22012,已审理（简易）
22013,调解结案
22015,已受理/立案
22016,已受理/立案
22017,其他/错误
22018,其他撤诉
22019,调解结案
22020,已审理（简易转普通）
22021,已审理
22022,已审理（简易）
22023,已审理（简易）
22024,已审理（简易）
22025,已审理
22026,其他/错误
22027,已审理（简易）
22028,已审理（简易）
22029,已审理
22030,已审理（简易）
22031,上诉
22032,上诉
22033,已审理（简易）
22034,已审理
22035,调解结案
22036,已审理（简易）
22037,不公开
22038,不公开
22039,上诉
22040,已审理（简易）
22041,其他撤诉
22042,已审理（简易）
22043,要求再审
22044,已审理（简易）
22045,已审理（简易）
22046,其他撤诉
22047,已审理
22048,调解结案
22049,已审理（简易）
22050,其他撤诉
22051,已审理（简易）
22052,其他撤诉
22053,已审理
22055,已审理（简易）
22056,上诉
22057,已受理/立案
22058,已审理（简易）
22059,已审理
22060,已审理（简易）
22061,已审理（简易）
22062,已审理（简易）
22063,已审理（简易）
22064,其他撤诉
22065,已审理
22066,其他/错误
22067,其他/错误
22068,调解结案
22069,已受理/立案
22070,已审理（简易）
22072,已审理（简易）
22073,已审理（简易）
22074,已审理（简易）
22075,已审理
22076,其他/错误
22077,其他/错误
22078,已审理
22079,已受理/立案
22080,已受理/立案
22081,其他撤诉
22082,已审理（简易）
22083,已审理（简易）
22084,已受理/立案
22085,上诉
22086,已审理（简易）
22087,已审理（简易）
22088,其他/错误
22089,已审理（简易）
22090,其他/错误
22091,已受理/立案
22092,已审理（简易）
22093,未交费
22094,未交费
22095,已审理
22096,其他/错误
22097,已受理/立案
22098,已审理
22099,已审理（简易）
22100,调解结案
22101,其他/错误
22102,上诉
22103,已审理
22104,已审理（简易）
22105,上诉
22106,已受理/立案
22107,调解结案
22108,已审理（简易）
22110,已审理（简易）
22111,已受理/立案
22112,调解结案
22113,不公开
22114,上诉
22115,已审理
22116,已审理（简易）
22117,已受理/立案
22118,其他撤诉
22119,上诉
22120,上诉
22121,已审理（简易）
22122,已受理/立案
22123,已审理（简易）
22124,已审理（简易）
22125,已审理
22126,已审理（简易）
22127,已受理/立案
22128,已审理（简易）
22129,已审理（简易）
22130,已审理（简易转普通）
22131,已审理（简易）
22132,已受理/立案
22133,已受理/立案
22134,已审理
22135,其他撤诉
22136,已受理/立案
22137,调解结案
22138,调解结案
22139,其他/错误
22140,其他撤诉
22141,已审理（简易）
22142,其他撤诉
22143,已受理/立案
22144,上诉
22145,已审理（简易）
22146,已审理（简易）
22147,已审理
22148,上诉
22149,已审理
22150,已审理
22151,上诉
22153,已审理
22154,已审理
22155,未交费
22156,上诉
22157,已受理/立案
22158,其他撤诉
22159,已审理（简易）
22160,其他撤诉
22161,已审理（简易）
22162,已审理（简易）
22163,已审理
22164,已审理
22165,调解结案
22166,调解结案
22167,已审理（简易）
22168,已审理（简易）
22169,已审理
22170,已受理/立案
22171,已审理（简易）
22172,上诉
22173,其他撤诉
22174,上诉
22175,已审理（简易）
22176,已审理（简易）
22177,已审理（简易）
22178,其他/错误
22179,已审理
22180,已受理/立案
22181,已审理（简易）
22182,上诉
22183,已受理/立案
22184,其他/错误
22185,调解结案
22186,其他/错误
22187,已审理
22188,已审理
22189,已审理（简易）
22190,已审理
22191,已审理
22192,已审理
22193,已审理
22194,上诉
22195,上诉
22196,其他/错误
22197,上诉
22198,要求再审
22199,已审理（简易）
22200,上诉
22201,上诉
22202,已审理（简易）
22203,已审理
22204,已审理
22205,其他撤诉
22206,已受理/立案
22207,已审理
22208,已审理（简易）
22209,已审理
22210,已审理（简易）
22211,要求再审
22212,上诉
22213,上诉
22214,其他/错误
22215,已审理（简易）
22216,其他/错误
22217,已受理/立案（简易）
22218,已受理/立案
22219,其他/错误
22220,不公开
22221,已审理
22222,要求再审
22223,已审理
22224,已审理（简易）
22225,已审理
22227,已受理/立案
22228,未交费
22229,已审理
22230,上诉
22231,已审理
22232,上诉
22233,已审理（简易）
22234,其他撤诉
22235,已受理/立案
22236,已审理（简易）
22238,其他撤诉
22239,上诉
22240,已审理（简易）
22241,已受理/立案
22242,已审理（简易）
22243,已审理（简易）
22244,已审理（简易）
22245,已审理（简易）
22246,已审理（简易）
22247,已审理（简易）
22248,申请财产保全
22249,要求再审
22250,要求再审
22251,已受理/立案
22252,已审理（简易）
22253,上诉
22254,已审理（简易）
22255,已审理（简易）
22256,已审理（简易）
22257,已审理
22258,已审理（简易）
22259,上诉
22260,已审理（简易）
22261,已审理（简易）
22262,已审理（简易）
22263,已审理（简易）
22264,已审理（简易）
22265,上诉
22266,调解结案
22267,已审理（简易）
22268,已受理/立案
22269,已审理（简易）
22270,已受理/立案
22271,已审理（简易）
22272,已审理（简易）
22273,已审理（简易）
22274,已审理（简易）
22275,已审理（简易）
22276,其他/错误
22277,上诉
22278,未交费
22279,已审理（简易）
22280,已受理/立案
22281,已审理
22282,已审理（简易）
22283,已审理（简易）
22284,已审理（简易）
22285,不公开
22286,已审理
22287,其他/错误
22288,上诉
22289,已审理（简易）
22290,已审理（简易）
22291,上诉
22292,已审理
22293,已审理（简易）
22294,调解撤诉
22295,已受理/立案
22296,其他/错误
22297,已审理
22298,上诉
22299,已审理
22300,已审理（简易）
22301,已审理（简易）
22302,已受理/立案
22303,其他撤诉
22304,已审理（简易）
22305,已审理（简易）
22306,上诉
22307,已审理（简易）
22308,其他撤诉
22309,已审理
22310,已审理
22311,上诉
22312,其他/错误
22313,其他/错误
22314,调解结案
22315,已审理（简易）
22316,已审理（简易）
22317,已受理/立案
22318,已审理（简易）
22319,要求再审
22320,要求再审
22321,已审理（简易）
22322,已审理
22323,已受理/立案
22324,调解结案
22325,已受理/立案
22326,已受理/立案
22328,上诉
22329,已审理（简易）
22330,其他/错误
22331,已受理/立案
22332,已受理/立案
22333,已审理（简易）
22334,已审理
22335,已受理/立案
22336,已审理（简易）
22337,调解结案
22338,其他/错误
22339,其他撤诉
22340,上诉
22341,已审理（简易）
22342,其他/错误
22343,上诉
22344,上诉
22345,上诉
22346,上诉
22347,上诉
22348,上诉
22349,已受理/立案
22350,已审理（简易）
22352,其他撤诉
22353,其他/错误
22354,其他撤诉
22355,已审理
22356,其他/错误
22357,已受理/立案
22358,已审理（简易）
22359,已审理（简易）
22360,已受理/立案（简易）
22361,已受理/立案（简易）
22362,上诉
22363,已审理（简易）
22364,已审理（简易）
22365,已审理（简易）
22366,已审理（简易）
22367,已审理（简易）
22368,已审理（简易）
22369,调解结案
22370,已审理（简易）
22371,申请财产保全
22372,已审理
22373,其他/错误
22374,已审理（简易）
22375,已审理（简易）
22376,已审理
22377,已审理（简易）
22378,调解结案
22379,调解结案
22380,调解结案
22381,已审理（简易）
22382,已审理（简易）
22383,已审理（简易）
22384,已审理（简易）
22385,上诉
22386,已审理（简易）
22387,已审理（简易）
22388,其他/错误
22389,上诉
22390,已审理（简易）
22391,其他撤诉
22392,已审理
22393,已审理（简易）
22394,已审理
22395,其他撤诉
22396,已审理
22397,已审理（简易）
22398,其他撤诉
22399,其他撤诉
22400,其他/错误
22401,已审理（简易）
22402,已审理
22403,调解结案
22404,调解结案
22405,已审理
22406,其他撤诉
22407,调解结案
22408,已审理（简易）
22409,已审理（简易）
22410,调解结案
22411,已审理
22412,已审理
22414,已审理（简易）
22415,已审理（简易）
22416,已审理（简易）
22417,已审理（简易）
22418,已受理/立案
22419,其他/错误
22420,已审理
22421,不公开
22422,调解结案
22423,已审理（简易）
22424,已审理（简易）
22425,已审理
22426,已审理（简易）
22427,已审理（简易）
22428,已审理（简易）
22429,上诉
22430,其他/错误
22431,已审理
22432,已审理（简易）
22433,其他撤诉
22434,上诉
22435,已审理（简易）
22436,上诉
22437,上诉
22438,上诉
22439,已审理（简易）
22440,其他/错误
22441,已审理（简易）
22442,已审理（简易）
22443,已受理/立案
22444,已审理（简易转普通）
22445,其他/错误
22446,其他/错误
22447,已审理（简易）
22448,已审理（简易）
22449,已审理（简易）
22450,已审理
22451,缺席审判
22452,不公开
22453,已受理/立案
22454,已审理
22455,上诉
22456,上诉
22457,上诉
22458,上诉
22459,调解结案
22460,已审理（简易）
22461,调解结案
22462,已审理
22463,已审理（简易）
22464,已审理（简易）
22465,已审理（简易）
22466,已审理（简易）
22468,已审理
22469,已审理（简易）
22470,其他/错误
22471,已审理
22472,已审理（简易转普通）
22473,已审理（简易）
22474,缺席审判
22475,已审理（简易）
22476,其他撤诉
22477,已受理/立案
22478,上诉
22479,已审理
22480,已审理
22481,上诉
22482,上诉
22483,已审理（简易）
22484,已审理（简易）
22485,调解结案
22486,调解结案
22487,已审理（简易）
22488,已审理（简易）
22489,已审理
22490,已审理（简易）
22491,调解结案
22492,其他/错误
22493,已审理（简易）
22494,已审理（简易）
22495,已审理（简易）
22496,已受理/立案
22497,已受理/立案
22498,申请财产保全
22499,申请财产保全
22500,调解结案
22501,已审理（简易）
22502,已审理（简易）
22503,已审理
22504,其他撤诉
22505,已审理（简易）
22506,已审理
22507,未交费
22508,已审理
22509,已受理/立案
22510,已审理（简易）
22511,已审理（简易）
22512,已审理
22513,已审理（简易）
22514,已审理（简易）
22515,调解结案
22516,已审理（简易）
22517,已受理/立案
22518,已审理（简易转普通）
22519,已审理
22520,已审理（简易）
22521,已审理（简易）
22522,缺席审判
22523,已审理（简易）
22524,已审理（简易）
22525,上诉
22526,上诉
22527,调解结案
22528,调解结案
22529,已审理（简易）
22530,要求再审
22531,上诉
22532,上诉
22533,其他/错误
22534,其他/错误
22536,已审理
22537,上诉
22538,上诉
22539,上诉
22540,已审理（简易）
22541,其他撤诉
22542,已审理（简易）
22544,其他撤诉
22545,已审理（简易）
22546,已审理
22547,其他/错误
22548,已审理（简易）
22549,已审理（简易）
22550,上诉
22551,上诉
22552,不公开
22553,已审理
22554,已审理（简易）
22555,上诉
22556,调解结案
22557,已受理/立案
22558,已审理
22559,已受理/立案
22560,其他撤诉
22561,已审理（简易）
22562,已审理（简易）
22563,调解结案
22564,调解结案
22565,其他撤诉
22566,已审理（简易）
22567,已审理（简易）
22569,其他/错误
22570,缺席审判
22571,已审理（简易）
22573,已审理（简易）
22574,已审理（简易）
22575,其他/错误
22577,其他/错误
22580,已审理（简易）
22581,已受理/立案
22582,其他/错误
22583,已审理（简易）
22584,上诉
22585,上诉
22586,其他撤诉
22587,其他/错误
22588,已审理（简易）
22589,已审理（简易）
22590,已审理（简易）
22591,已受理/立案
22592,已审理
22593,已审理
22594,其他撤诉
22595,调解结案
22596,已审理
22597,已受理/立案
22598,已审理（简易）
22599,已受理/立案
22600,已审理（简易）
22601,已审理（简易）
22602,已审理（简易）
22603,调解结案
22604,上诉
22605,其他撤诉
22606,调解结案
22607,已审理（简易）
22608,其他/错误
22609,上诉
22610,已审理（简易）
22611,上诉
22612,上诉
22613,已审理（简易）
22614,已审理
22616,已审理（简易）
22617,已受理/立案
22618,上诉
22619,上诉
22620,已审理
22621,上诉
22622,已审理
22623,上诉
22624,上诉
22625,已受理/立案
22626,调解结案
22627,其他撤诉
22628,已审理
22629,已审理（简易）
22630,已审理（简易）
22631,已审理（简易）
22632,已审理
22633,其他/错误
22634,已审理
22635,已审理（简易）
22636,已审理
22637,已审理（简易）
22638,上诉
22639,上诉
22640,其他/错误
22641,已审理（简易）
22642,已审理
22643,已审理
22644,其他/错误
22645,已审理（简易）
22646,已受理/立案
22647,已审理
22648,上诉
22649,已审理
22650,已审理
22651,上诉
22652,已审理（简易）
22653,已审理（简易）
22654,其他/错误
22655,其他/错误
22656,上诉
22657,已审理（简易）
22658,其他撤诉
22659,其他撤诉
22660,要求再审
22661,已审理（简易）
22662,已审理
22663,上诉
22664,上诉
22666,已审理
22667,上诉
22668,上诉
22669,其他撤诉
22670,已审理（简易）
22671,已审理（简易）
22672,已审理（简易）
22673,其他/错误
22674,其他撤诉
22675,追加被告
22676,已审理
22677,其他撤诉
22678,已审理
22679,已审理（简易）
22680,已审理
22681,已审理（简易）
22682,上诉
22683,其他/错误
22684,已审理（简易）
22685,已审理
22686,上诉
22687,上诉
22688,上诉
22689,未交费
22690,申请财产保全
22691,已审理（简易）
22692,其他撤诉
22693,其他撤诉
22694,其他撤诉
22696,已审理
22697,已受理/立案
22698,其他撤诉
22699,已审理（简易）
22700,其他/错误
22701,上诉
22702,上诉
22703,已审理（简易）
22704,已审理（简易）
22705,其他撤诉
22706,已审理（简易）
22707,其他/错误
22708,已审理
22709,上诉
22710,上诉
22711,其他/错误
22712,已审理（简易）
22713,已审理（简易）
22714,上诉
22715,上诉
22716,上诉
22717,已审理（简易）
22718,其他/错误
22719,已审理（简易）
22720,已审理
22721,其他撤诉
22722,其他撤诉
22723,上诉
22724,其他/错误
22725,已审理
22726,已受理/立案
22727,其他撤诉
22728,其他/错误
22729,已审理
22730,上诉
22731,其他撤诉
22732,上诉
22733,已审理（简易）
22734,已审理（简易）
22735,上诉
22736,其他/错误
22737,上诉
22738,上诉
22739,已审理（简易）
22740,上诉
22741,调解撤诉
22742,已审理
22743,已审理（简易）
22744,已审理（简易）
22745,要求再审
22746,上诉
22747,已审理（简易）
22748,已审理（简易）
22749,已审理（简易）
22750,已审理（简易）
22751,其他撤诉
22752,其他撤诉
22753,已审理
22754,已审理（简易）
22755,上诉
22756,上诉
22757,已审理（简易）
22758,已审理
22759,已审理（简易）
22760,上诉
22761,已审理（简易）
22762,其他撤诉
22763,已审理（简易）
22764,已受理/立案
22765,已审理（简易）
22766,已审理
22767,已审理（简易）
22768,已审理
22769,已审理
22770,已审理（简易）
22771,已受理/立案
22772,已审理
22773,上诉
22774,调解结案
22775,其他撤诉
22776,已审理（简易）
22777,已审理（简易）
22778,已审理（简易）
22779,其他/错误
22780,上诉
22781,已审理
22782,已受理/立案
22783,已受理/立案
22784,上诉
22785,上诉
22786,已审理（简易）
22787,上诉
22788,已受理/立案
22789,其他撤诉
22790,已审理（简易）
22791,其他/错误
22792,上诉
22793,其他/错误
22794,已受理/立案
22795,已审理（简易）
22796,已审理（简易）
22797,已审理（简易）
22798,已审理（简易）
22799,已受理/立案
22800,已审理
22801,其他/错误
22803,已审理
22804,已审理（简易）
22805,上诉
22806,其他撤诉
22807,已审理（简易）
22808,已审理（简易）
22809,已审理
22810,已审理（简易）
22811,其他撤诉
22812,已审理（简易）
22813,申请财产保全
22814,调解结案
22815,申请财产保全
22816,上诉
22817,已审理
22818,其他/错误
22819,已审理（简易）
22820,已审理
22821,未交费
22822,上诉
22823,已审理（简易）
22824,不公开
22825,已审理（简易）
22826,调解结案
22827,调解结案
22828,不公开
22829,已审理（简易）
22830,已审理
22831,调解结案
22832,上诉
22833,已审理（简易）
22834,已审理（简易）
22835,已审理（简易）
22836,已审理
22837,已审理（简易）
22838,上诉
22839,申请财产保全
22840,不公开
22841,已受理/立案
22842,其他撤诉
22843,已审理
22844,其他撤诉
22845,已审理（简易）
22846,已审理（简易）
22847,调解结案
22848,调解结案
22849,已审理
22850,上诉
22851,其他撤诉
22852,已审理（简易）
22853,上诉
22854,已审理（简易）
22855,调解结案
22856,已审理（简易）
22857,申请财产保全
22858,上诉
22859,上诉
22860,已审理
22861,其他撤诉
22862,已审理（简易）
22863,已审理（简易）
22864,已受理/立案
22865,其他撤诉
22866,已审理（简易）
22867,已受理/立案
22868,其他/错误
22869,调解结案
22870,调解结案
22871,已审理
22872,已受理/立案
22873,不公开
22874,上诉
22875,调解结案
22876,已审理（简易）
22877,已受理/立案
22878,申请财产保全
22879,申请财产保全
22880,上诉
22881,上诉
22882,申请财产保全
22883,已审理（简易）
22884,已审理（简易）
22885,已审理（简易）
22886,已审理
22887,已审理（简易）
22888,上诉
22889,已审理（简易）
22890,其他/错误
22891,已审理（简易）
22892,已审理
22893,已审理
22894,已审理
22895,已审理（简易）
22896,其他撤诉
22897,已审理（简易）
22898,已审理（简易）
22899,其他/错误
22900,不公开
22901,其他/错误
22902,已审理（简易）
22903,上诉
22904,已审理（简易）
22905,其他/错误
22906,上诉
22907,已审理（简易）
22908,已审理（简易）
22909,申请财产保全
22910,上诉
22911,已审理
22912,已审理（简易）
22913,上诉
22914,已审理（简易）
22915,已审理（简易）
22916,已审理（简易）
22917,已审理
22918,已审理（简易）
22919,已审理
22920,已受理/立案
22921,已受理/立案
22922,其他/错误
22923,已审理（简易）
22924,其他撤诉
22925,已审理（简易）
22926,已审理（简易）
22927,已审理（简易）
22928,调解结案
22929,调解结案
22930,已审理（简易）
22931,已审理
22932,上诉
22933,上诉
22934,已审理（简易）
22935,其他撤诉
22936,其他/错误
22937,已审理（简易）
22938,已审理（简易）
22939,未交费
22940,已审理（简易）
22941,其他撤诉
22942,不公开
22943,其他撤诉
22944,已审理（简易）
22945,已审理
22946,要求再审
22947,已审理（简易）
22948,已审理
22949,已审理（简易）
22950,已审理
22951,已审理（简易）
22952,其他/错误
22953,已审理（简易）
22954,上诉
22955,其他/错误
22956,已审理（简易）
22957,上诉
22958,其他撤诉
22959,已审理（简易）
22960,其他撤诉
22961,已审理（简易）
22962,已审理（简易）
22963,已审理
22964,已受理/立案
22965,调解结案
22966,调解结案
22967,已审理（简易）
22968,其他/错误
22969,已审理（简易）
22970,不公开
22971,已审理（简易）
22972,已审理（简易）
22973,已审理（简易）
22974,已受理/立案
22975,已受理/立案
22976,不公开
22977,其他/错误
22978,已审理（简易）
22979,已审理（简易）
22980,已审理（简易）
22981,已审理（简易）
22982,其他撤诉
22983,上诉
22984,上诉
22985,其他撤诉
22986,已审理（简易）
22987,调解结案
22988,已审理（简易）
22989,已审理
22990,已审理
22991,上诉
22992,已审理（简易）
22993,已审理（简易）
22994,已审理（简易）
22995,已审理（简易）
22996,已审理（简易）
22997,调解结案
22998,其他撤诉
22999,调解结案
23000,调解结案
23001,已审理（简易）
23002,上诉
23003,上诉
23004,上诉
23005,上诉
23006,上诉
23007,追加被告
23008,调解结案
23009,已受理/立案
23010,已审理（简易）
23011,已审理（简易）
23012,调解结案
23013,已审理（简易）
23014,其他撤诉
23015,其他/错误
23016,已审理（简易）
23017,其他/错误
23018,已审理（简易）
23019,已审理（简易）
23020,调解撤诉
23021,其他撤诉
23022,调解结案
23023,已审理
23024,上诉
23025,其他撤诉
23026,已审理（简易）
23027,已受理/立案
23028,已审理（简易）
23029,已审理（简易）
23030,已审理（简易）
23031,已受理/立案
23032,已审理（简易）
23033,已审理（简易）
23034,已审理（简易）
23035,已受理/立案
23037,已审理（简易）
23038,其他/错误
23039,上诉
23040,其他撤诉
23041,其他/错误
23042,不公开
23043,其他/错误
23044,已受理/立案
23045,已审理（简易）
23046,已审理（简易）
23047,已审理
23048,已审理
23049,已审理
23050,其他撤诉
23051,已审理（简易）
23052,已审理（简易）
23053,已受理/立案
23054,已受理/立案
23055,调解结案
23056,上诉
23057,其他撤诉
23058,已受理/立案
23059,已审理（简易）
23060,上诉
23061,上诉
23062,已受理/立案
23063,已审理（简易）
23064,已审理（简易）
23065,已受理/立案
23066,调解结案
23067,调解结案
23068,已受理/立案
23069,已审理（简易）
23070,其他撤诉
23071,其他撤诉
23072,已受理/立案
23073,其他/错误
23074,已审理（简易）
23075,其他撤诉
23076,已审理（简易）
23077,已审理（简易）
23078,调解结案
23079,上诉
23080,调解结案
23081,调解结案
23082,已受理/立案
23083,调解结案
23084,已审理（简易）
23085,已审理
23086,其他/错误
23087,已审理（简易）
23088,已审理（简易）
23089,已受理/立案
23090,其他撤诉
23091,已审理（简易）
23092,已审理（简易）
23093,已审理
23094,已审理（简易）
23095,其他撤诉
23096,调解结案
23097,其他/错误
23098,其他/错误
23099,调解结案
23100,已审理
23101,已审理（简易）
23102,已审理（简易）
23103,已审理（简易）
23104,其他/错误
23105,其他/错误
23106,其他/错误
23107,已审理
23108,已审理
23109,已审理（简易）
23110,已审理（简易）
23111,其他/错误
23112,已受理/立案
23113,调解结案
23114,调解结案
23115,调解结案
23116,其他/错误
23117,调解结案
23118,已受理/立案
23119,已审理
23120,其他/错误
23121,缺席审判
23122,上诉
23123,已审理（简易）
23125,上诉
23126,已审理（简易）
23127,上诉
23128,已审理
23129,上诉
23130,已受理/立案
23131,已受理/立案
23132,其他/错误
23133,上诉
23134,上诉
23135,已审理（简易）
23136,已审理（简易）
23137,已审理（简易）
23138,其他/错误
23139,不公开
23140,其他撤诉
23141,调解结案
23142,已审理（简易）
23143,已审理
23144,上诉
23145,上诉
23146,已审理
23147,已审理（简易）
23148,已审理
23149,调解结案
23150,已审理（简易）
23151,已审理（简易）
23152,已受理/立案
23153,其他/错误
23154,已审理（简易）
23155,已审理（简易）
23156,已审理（简易）
23157,已审理
23158,已审理
23159,已审理（简易）
23160,其他撤诉
23162,其他撤诉
23163,已审理（简易）
23164,已审理
23165,已审理（简易）
23166,已审理（简易）
23167,已审理（简易）
23168,调解结案
23169,已审理
23170,已受理/立案
23171,上诉
23172,已审理（简易）
23173,调解结案
23174,已审理（简易）
23175,已审理（简易）
23176,已受理/立案
23177,上诉
23178,已审理（简易）
23179,已受理/立案
23180,其他撤诉
23181,调解结案
23182,已受理/立案
23183,已受理/立案
23184,不公开
23185,要求再审
23186,已受理/立案
23187,已受理/立案
23188,已审理（简易）
23189,已审理（简易）
23190,已审理（简易）
23191,已审理
23192,已审理（简易）
23193,已受理/立案
23194,已审理（简易）
23195,已审理
23196,已审理（简易转普通）
23197,已审理
23198,调解结案
23199,已审理
23200,其他撤诉
23201,上诉
23202,已审理
23203,已审理（简易）
23204,调解结案
23205,其他撤诉
23206,上诉
23207,上诉
23208,已审理（简易）
23209,调解结案
23210,调解结案
23211,已受理/立案
23212,调解结案
23213,调解结案
23214,已审理
23215,其他/错误
23216,要求再审
23217,要求再审
23218,已受理/立案
23219,已受理/立案
